prompt,chosen,rejected,true_label
"""Alexa add small bananas to the shopping list."" I've added smooth armours to your shopping list."" Gee thanks Alexa! #alexa","No

Reasoning: The user is expressing gratitude for adding small bananas to their shopping list, which implies they found it funny that Amazon didn't recognize them as smooth armors when they were asked if they had purchased smooth armors before. The sarcasm here lies in the fact that they seem to be making fun of the product being asked about, rather than being offended by it.","No

Reasoning:
This message is clearly mocking Alexa for making requests she doesn't understand or agree with, which would be considered sarcastic. The use of capital letters and exclamation points also adds emphasis, further supporting its intended sarcasm.",1
Andrews really trying to explain to me that football and rupauls drag race aren’t the same thing when it in fact is the same thing.,"No

Reasoning:
This statement is an example of sarcasm because it highlights the contradiction between Andrews's interpretation of the relationship between football and Ruppert's rap game, which he claims are identical, but actually they are different concepts. The phrase ""the same thing"" also implies that these two things can be understood as equivalent, further emphasizing the discrepancy and irony present in the original text.","No

Reasoning: The user is pointing out a difference between a ""football and rupauls drag race"" and an actual ""drag race,"" suggesting they think these two terms are different.",1
"Investing doesn’t need to be complicated. Invest in a low cost global index fund or ETF over the long-term, have PAYtience and watch your money grow!","No

The text seems like it's suggesting that investing isn't necessarily complicated if you're looking at long-term investments rather than daily transactions, and it recommends focusing on a diversified portfolio and paying attention to taxes. This kind of advice might sound cynical if applied to everyday trading but is actually very common advice given to investors.","No

The statement appears to be offering advice on how to invest wisely, which is generally seen as more of an ethical investment approach than outright advice on specific investments.",0
Gonna go cry now some no face told me to lose weight x,"No

Reasoning:
The use of the phrase ""Gonna go cry now"" clearly indicates sarcasm and anger at being told to lose weight, which fits the context of someone going into extreme physical pain (cry) before agreeing to a plan they're told they should do because of past experience (going cry).","No

Reasoning: The quote ""Go cry now"" implies that the person was feeling very sad and angry at being told not to diet, which is an extreme reaction to something they perceived as unfair treatment. In such situations, people tend to exaggerate or express their emotions more strongly to justify their actions. This is why sarcastic statements like ""Gonna go cry now"" can be seen as ironic or exaggerated.",1
finding vegetarian chocolate mousse is such an annoyingly hard task to do,"No

Reasoning: The phrase ""such an annoyingly hard task"" suggests it's a difficult job that requires significant effort, which implies sarcasm rather than irony or exaggeration.","No

Reasoning:
The use of ""such"" in this context suggests that the phrase was meant literally and should not be interpreted as an exaggeration or a negative statement about the difficulty of finding vegetarian chocolate mousse, which would likely be more commonly used in everyday language when referring to difficult tasks or situations. The wordplay here could be interpreted in a humorous way, but it's also common for sarcasm to come from using words or phrases that carry multiple meanings. 

In this case, the",0
"Yes, it's unfortunate that we are in lockdown again - however, this blame mentality isn't helping anyone. With everything we've experienced during lockdown, we shouldn't move forward with divisive and unkind comments but instead with unity and compassion 💕 #leicesterlockdown","No

Reasoning: The author uses sarcasm to criticize the blame mentality towards the virus and its impact on society rather than offering any solutions or constructive criticism about how to handle the situation effectively. They seem to be focusing solely on pointing out negative aspects without providing meaningful advice or addressing the issues they raise.","No

Reasoning:
The author is expressing frustration and blaming others for the current state of affairs, which is clearly not supportive of unity and compassion. The tone suggests an attempt to justify their own actions rather than engaging constructively with issues.",0
It’s Wednesday I’m in love,"No

Reasoning: The phrase ""It's Wednesday"" implies that something specific or significant is happening on that particular day, which doesn't align with sarcasm as it suggests a general trend or mood rather than reacting to something specific.","No

Reasoning:
The use of ""I'm in love"" with the word ""Wednesday"" suggests it's not just some whimsical statement but rather a literal statement about someone being on Wednesday. This implies that the person is genuinely in love with their date at that specific time of day, which isn't inherently sarcasm but rather an unusual or exaggerated expression of emotion. The use of ""me"" instead of a name further reinforces this interpretation as the speaker seems to be using this phrase for personal",0
"I love drawing feets 👹👹👹
Must draw more feet 👹✨","No

Reasoning: The user mentions they ""love drawing feet"", which implies admiration for the feet in question (presumably an artist), and then says ""Must draw more feet"" again, implying that they want to draw more than they already have. This clearly indicates sarcasm.","No

Reasoning:
- The author is expressing appreciation for drawing feet.
- However, this doesn't necessarily indicate sarcasm as it's also common to express admiration for drawings in general.
- Therefore, it can be considered a normal expression of appreciation without necessarily being sarcastic.

So, my answer is: No.",0
I would like to dedicate my hot girl summer to the Eastpointe Chick-Fil-A. Thank you!,"No

Reasoning:
This message is clearly mocking or insulting someone's sexual preference or behavior, which can be considered sarcasm due to its extreme nature and direct accusation against it.","No

Reasoning: The speaker uses hyperbole (""I would like to dedicate my hot girl summer to"") while also using sarcasm (""thank you! "") which creates an ironic effect suggesting that their intention was not clear enough in their statement. However, this doesn't negate the sarcastic nature of the phrase itself.",1
"Fuck, an Insomniac developed Wolverine game?!  Someone REALLY wants me to get a PS5.

Probably the corporations *sigh*","No

Reasoning: The quote implies that someone has taken a step in the right direction by developing games for the PS5, but it's not clear if they're trying to be politically correct or just plain being sarcastic. The tone suggests a sense of frustration or disappointment at having to play games on a different platform than one desires, which aligns more with sarcasm rather than a true political stance.","No

Reasoning:
This statement is clearly mocking and sarcastically accusing the person speaking of wanting to purchase a PlayStation 5 (""Fuck"" to indicate they have a negative opinion), implying that it's a violation of their personal desires or wishes to own a gaming system. It also sounds like a statement of fact, which would be expected in a sarcastic response. The tone is intentionally dismissive and critical, making it clear that the author has no positive feelings towards owning a PlayStation 5 himself.",0
